model_alias,benchmark,primary_accuracy,strict_accuracy,fallback_frac,leading_letter_accuracy,fallback_accuracy,unanswered
qwen_2b_base,mmlu,0.6433333333333333,0.6233333333333333,0.03333333333333333,0.6487455197132617,0.6,0
qwen_2b_4bit,mmlu,0.5533333333333333,0.33,0.4866666666666667,0.75,0.4589041095890411,0
qwen_4b_base,mmlu,0.7466666666666667,0.7466666666666667,0.0,0.7466666666666667,,0
qwen_4b_4bit,mmlu,0.7433333333333333,0.7433333333333333,0.0,0.7433333333333333,,0
llama_3_2_3b_base,mmlu,0.61,0.61,0.0,0.61,,0
llama_3_2_3b_4bit,mmlu,0.5733333333333334,0.5733333333333334,0.0,0.5733333333333334,,0
mistral_7b_base,mmlu,0.6333333333333333,0.63,0.006666666666666667,0.6404109589041096,0.5,0
mistral_7b_4bit,mmlu,0.6133333333333333,0.6133333333333333,0.006666666666666667,0.6185567010309279,0.0,0
phi4_mini_base,mmlu,0.7033333333333334,0.69,0.03,0.7118055555555556,0.4444444444444444,0
phi4_mini_4bit,mmlu,0.6766666666666666,0.66,0.03,0.6804123711340206,0.5555555555555556,0
qwen_2b_base,arc,0.7226962457337884,0.712457337883959,0.024744027303754267,0.73215859030837,0.41379310344827586,0
qwen_2b_4bit,arc,0.7133105802047781,0.36945392491467577,0.523037542662116,0.7986870897155361,0.6574225122349103,0
qwen_4b_base,arc,0.8762798634812287,0.8762798634812287,0.0,0.8753224419604472,,0
qwen_4b_4bit,arc,0.8600682593856656,0.8592150170648464,0.0008532423208191126,0.8571428571428571,1.0,0
llama_3_2_3b_base,arc,0.7295221843003413,0.7295221843003413,0.0,0.7295221843003413,,0
llama_3_2_3b_4bit,arc,0.6979522184300341,0.6979522184300341,0.0,0.6979522184300341,,0
mistral_7b_base,arc,0.7337883959044369,0.7312286689419796,0.006825938566552901,0.7361963190184049,0.375,0
mistral_7b_4bit,arc,0.7431740614334471,0.7414675767918089,0.0034129692832764505,0.7458515283842795,0.5,0
phi4_mini_base,arc,0.8131399317406144,0.7969283276450512,0.025597269624573378,0.8199470432480142,0.6333333333333333,0
phi4_mini_4bit,arc,0.7986348122866894,0.7892491467576792,0.016211604095563138,0.8031358885017421,0.5789473684210527,0
